Timestamp,DateTime,BME680_Port0,BME680_Port1,STS35_Port4,SHT45_Port5,Fused_Temp
20250623_191524,2025-06-23 19:15:24,25.56,25.28,26.46,26.37,24.88
20250623_191624,2025-06-23 19:16:24,25.58,25.34,26.25,26.05,25.56
20250623_191724,2025-06-23 19:17:24,25.59,25.43,26.08,25.88,25.71
20250623_191824,2025-06-23 19:18:24,25.62,25.43,26.00,25.83,25.75
20250623_191924,2025-06-23 19:19:24,25.58,25.40,25.92,25.72,25.71
20250623_192024,2025-06-23 19:20:24,25.53,25.38,25.80,25.53,25.63
20250623_192124,2025-06-23 19:21:24,25.45,25.33,25.71,25.44,25.54
20250623_192224,2025-06-23 19:22:24,25.45,25.26,25.64,25.34,25.47
20250623_192324,2025-06-23 19:23:24,25.36,25.21,25.53,25.27,25.39
20250623_192424,2025-06-23 19:24:24,25.40,25.30,25.46,25.19,25.34
20250623_192524,2025-06-23 19:25:24,25.34,25.24,25.43,25.19,25.31
20250623_192624,2025-06-23 19:26:24,25.33,25.22,25.40,25.20,25.29
20250623_192724,2025-06-23 19:27:24,25.32,25.20,25.42,25.23,25.29
20250623_192824,2025-06-23 19:28:24,25.34,25.20,25.39,25.15,25.27
20250623_192924,2025-06-23 19:29:24,25.26,25.12,25.38,25.13,25.24
20250623_193024,2025-06-23 19:30:24,25.25,25.12,25.37,25.13,25.22
20250623_193124,2025-06-23 19:31:24,25.37,25.23,25.33,25.02,25.21
20250623_193224,2025-06-23 19:32:24,25.35,25.24,25.29,24.95,25.18
20250623_193324,2025-06-23 19:33:24,25.31,25.20,25.27,24.94,25.15
20250623_193424,2025-06-23 19:34:24,25.34,25.21,25.24,24.96,25.15
20250623_193524,2025-06-23 19:35:24,25.29,25.17,25.25,24.98,25.14
20250623_193624,2025-06-23 19:36:24,25.20,25.12,25.25,25.03,25.14
20250623_193724,2025-06-23 19:37:24,25.26,25.16,25.23,24.98,25.13
20250623_193824,2025-06-23 19:38:24,25.20,25.07,25.23,25.00,25.12
20250623_193924,2025-06-23 19:39:24,25.13,24.98,25.23,25.02,25.10
20250623_194024,2025-06-23 19:40:24,25.13,25.00,25.22,25.00,25.09
20250623_194124,2025-06-23 19:41:24,25.13,25.03,25.21,24.97,25.08
20250623_194224,2025-06-23 19:42:24,25.11,25.03,25.19,24.97,25.07
20250623_194324,2025-06-23 19:43:24,25.12,25.05,25.19,24.97,25.07
20250623_194424,2025-06-23 19:44:24,25.12,25.03,25.19,24.97,25.06
20250623_194524,2025-06-23 19:45:24,25.10,25.02,25.18,24.97,25.06
20250623_194624,2025-06-23 19:46:24,25.09,25.01,25.18,24.96,25.05
20250623_194724,2025-06-23 19:47:24,25.09,25.03,25.17,24.93,25.04
20250623_194824,2025-06-23 19:48:24,25.13,25.03,25.17,24.92,25.04
20250623_194924,2025-06-23 19:49:24,25.11,25.00,25.15,24.95,25.04
20250623_195024,2025-06-23 19:50:24,25.20,25.05,25.16,24.89,25.04
20250623_195124,2025-06-23 19:51:24,25.13,25.04,25.16,24.89,25.03
20250623_195224,2025-06-23 19:52:24,25.12,25.01,25.14,24.87,25.02
20250623_195324,2025-06-23 19:53:24,25.09,25.00,25.13,24.86,25.00
20250623_195424,2025-06-23 19:54:24,25.07,25.00,25.12,24.88,25.00
20250623_195524,2025-06-23 19:55:24,25.04,24.97,25.14,24.92,25.00
20250623_195624,2025-06-23 19:56:24,25.03,24.95,25.13,24.94,25.00
20250623_195724,2025-06-23 19:57:24,25.03,24.93,25.13,24.92,25.00
20250623_195824,2025-06-23 19:58:24,25.06,24.96,25.12,24.88,24.99
20250623_195924,2025-06-23 19:59:24,24.97,24.86,25.10,24.87,24.96
20250623_200024,2025-06-23 20:00:24,25.07,24.96,25.08,24.82,24.96
20250623_200124,2025-06-23 20:01:24,25.08,24.97,25.05,24.81,24.95
20250623_200224,2025-06-23 20:02:24,25.12,25.00,25.03,24.77,24.94
20250623_200324,2025-06-23 20:03:24,25.20,25.06,25.01,24.75,24.95
20250623_200424,2025-06-23 20:04:24,25.12,24.98,25.00,24.76,24.93
20250623_200524,2025-06-23 20:05:24,25.13,25.02,24.96,24.73,24.92
20250623_200624,2025-06-23 20:06:24,25.00,24.87,24.98,24.81,24.91
20250623_200724,2025-06-23 20:07:24,24.99,24.89,24.98,24.79,24.90
20250623_200824,2025-06-23 20:08:24,25.04,24.94,24.95,24.76,24.89
20250623_200924,2025-06-23 20:09:24,25.01,24.93,24.97,24.77,24.89
20250623_201024,2025-06-23 20:10:24,24.88,24.75,24.99,24.82,24.87
20250623_201124,2025-06-23 20:11:24,24.89,24.80,24.97,24.81,24.87
20250623_201224,2025-06-23 20:12:24,24.93,24.87,25.00,24.81,24.88
20250623_201324,2025-06-23 20:13:24,24.96,24.91,24.96,24.76,24.88
20250623_201424,2025-06-23 20:14:24,24.97,24.90,24.97,24.76,24.88
20250623_201524,2025-06-23 20:15:24,24.98,24.91,24.97,24.74,24.87
20250623_201624,2025-06-23 20:16:24,25.01,24.88,24.95,24.71,24.86
20250623_201724,2025-06-23 20:17:24,24.98,24.87,24.95,24.73,24.86
20250623_201824,2025-06-23 20:18:24,24.94,24.86,24.95,24.72,24.85
20250623_201924,2025-06-23 20:19:24,24.93,24.85,24.94,24.72,24.84
20250623_202024,2025-06-23 20:20:24,24.96,24.84,24.93,24.66,24.83
20250623_202124,2025-06-23 20:21:24,24.97,24.82,24.90,24.65,24.81
20250623_202224,2025-06-23 20:22:24,24.91,24.82,24.90,24.65,24.80
20250623_202324,2025-06-23 20:23:24,24.93,24.86,24.89,24.62,24.79
20250623_202424,2025-06-23 20:24:24,24.89,24.81,24.88,24.66,24.79
20250623_202524,2025-06-23 20:25:24,24.86,24.78,24.90,24.67,24.78
20250623_202624,2025-06-23 20:26:24,24.86,24.78,24.90,24.67,24.78
20250623_202724,2025-06-23 20:27:24,24.87,24.79,24.92,24.68,24.79
20250623_202824,2025-06-23 20:28:24,24.90,24.79,24.90,24.63,24.78
20250623_202924,2025-06-23 20:29:24,24.91,24.74,24.89,24.58,24.76
20250623_203024,2025-06-23 20:30:24,24.85,24.71,24.87,24.61,24.75
20250623_203124,2025-06-23 20:31:24,24.83,24.72,24.87,22.70,24.27
20250623_203224,2025-06-23 20:32:24,24.80,24.72,24.89,24.61,24.56
20250623_203324,2025-06-23 20:33:24,24.81,24.73,24.89,24.61,24.67
20250623_203424,2025-06-23 20:34:24,24.83,24.72,24.87,24.58,24.70
20250623_203524,2025-06-23 20:35:24,24.86,24.72,24.86,24.56,24.71
20250623_203624,2025-06-23 20:36:24,24.84,24.72,24.82,24.52,24.70
20250623_203724,2025-06-23 20:37:24,24.87,24.77,24.78,24.46,24.68
20250623_203824,2025-06-23 20:38:24,24.81,24.73,24.71,24.39,24.63
20250623_203924,2025-06-23 20:39:24,24.85,24.70,24.67,24.33,24.60
20250623_204024,2025-06-23 20:40:24,24.79,24.69,24.63,24.31,24.56
20250623_204124,2025-06-23 20:41:24,24.72,24.64,24.60,24.34,24.54
20250623_204224,2025-06-23 20:42:24,24.69,24.62,24.59,24.37,24.53
20250623_204324,2025-06-23 20:43:24,24.66,24.61,24.61,24.39,24.53
20250623_204424,2025-06-23 20:44:24,24.66,24.59,24.63,24.40,24.54
20250623_204524,2025-06-23 20:45:24,24.68,24.62,24.64,24.41,24.54
20250623_204624,2025-06-23 20:46:24,24.69,24.62,24.64,24.39,24.55
20250623_204724,2025-06-23 20:47:24,24.68,24.62,24.64,24.40,24.55
20250623_204824,2025-06-23 20:48:24,24.64,24.57,24.64,24.42,24.54
20250623_204924,2025-06-23 20:49:24,24.66,24.59,24.65,22.51,24.08
20250623_205024,2025-06-23 20:50:24,24.63,24.59,24.66,24.42,24.37
20250623_205124,2025-06-23 20:51:24,24.60,24.54,24.67,24.44,24.48
20250623_205224,2025-06-23 20:52:24,24.62,24.55,24.68,24.43,24.52
20250623_205324,2025-06-23 20:53:24,24.62,24.56,24.66,24.42,24.53
20250623_205424,2025-06-23 20:54:24,24.62,24.55,24.64,24.44,24.54
20250623_205524,2025-06-23 20:55:24,24.63,24.56,24.65,24.41,24.54
20250623_205624,2025-06-23 20:56:24,24.64,24.55,24.62,24.34,24.51
20250623_205724,2025-06-23 20:57:24,24.58,24.53,24.61,24.37,24.50
20250623_205824,2025-06-23 20:58:24,24.60,24.54,24.60,24.37,24.50
20250623_205924,2025-06-23 20:59:24,24.59,24.53,24.60,24.34,24.49
20250623_210024,2025-06-23 21:00:24,24.57,24.50,24.58,24.35,24.48
20250623_210124,2025-06-23 21:01:24,24.60,24.49,24.59,24.33,24.47
20250623_210224,2025-06-23 21:02:24,24.58,24.49,24.57,24.33,24.47
20250623_210324,2025-06-23 21:03:24,24.53,24.46,24.57,24.33,24.46
20250623_210424,2025-06-23 21:04:24,24.50,24.41,24.57,24.32,24.44
20250623_210524,2025-06-23 21:05:24,24.51,24.42,24.59,24.34,24.45
20250623_210624,2025-06-23 21:06:24,24.51,24.40,24.59,24.36,24.45
20250623_210724,2025-06-23 21:07:24,24.49,24.40,24.60,24.36,24.45
20250623_210824,2025-06-23 21:08:24,24.49,24.42,24.59,24.35,24.45
20250623_210924,2025-06-23 21:09:24,24.50,24.44,24.58,24.33,24.45
20250623_211024,2025-06-23 21:10:24,24.49,24.44,24.57,24.32,24.44
20250623_211124,2025-06-23 21:11:24,24.51,24.40,24.57,24.30,24.43
20250623_211224,2025-06-23 21:12:24,24.52,24.39,24.54,24.29,24.42
20250623_211324,2025-06-23 21:13:24,24.48,24.37,24.56,24.31,24.42
20250623_211424,2025-06-23 21:14:24,24.49,24.32,24.53,24.26,24.40
20250623_211524,2025-06-23 21:15:24,24.48,24.36,24.53,24.25,24.39
20250623_211624,2025-06-23 21:16:24,24.46,24.36,24.50,24.21,24.37
20250623_211724,2025-06-23 21:17:24,24.48,24.39,24.48,24.19,24.36
20250623_211824,2025-06-23 21:18:24,24.45,24.38,24.48,24.22,24.36
20250623_211924,2025-06-23 21:19:24,24.40,24.34,24.49,24.25,24.35
20250623_212024,2025-06-23 21:20:24,24.39,24.34,24.48,24.25,24.35
20250623_212124,2025-06-23 21:21:24,24.37,24.34,24.50,24.25,24.35
20250623_212224,2025-06-23 21:22:24,24.39,24.30,24.47,24.24,24.34
20250623_212324,2025-06-23 21:23:24,24.39,24.32,24.45,24.21,24.33
20250623_212424,2025-06-23 21:24:24,24.39,24.30,24.46,24.22,24.33
20250623_212524,2025-06-23 21:25:24,24.41,24.30,24.44,24.19,24.32
20250623_212624,2025-06-23 21:26:24,24.41,24.33,24.40,24.16,24.30
20250623_212724,2025-06-23 21:27:24,24.36,24.29,24.40,24.18,24.29
20250623_212824,2025-06-23 21:28:24,24.31,24.25,24.38,24.16,24.27
20250623_212924,2025-06-23 21:29:24,24.36,24.30,24.36,24.14,24.27
20250623_213024,2025-06-23 21:30:24,24.35,24.28,24.35,24.12,24.26
20250623_213124,2025-06-23 21:31:24,24.35,24.27,24.33,24.09,24.24
