Timestamp,DateTime,BME680_Port0,BME680_Port1,STS35_Port4,SHT45_Port5,STS35_Port6,SHT45_Port7,Fused_Temp
20250624_140039,2025-06-24 14:00:39,29.63,29.37,29.12,29.16,29.35,29.52,29.27
20250624_140139,2025-06-24 14:01:39,29.63,29.44,29.15,29.24,29.37,29.51,29.29
20250624_140239,2025-06-24 14:02:39,29.42,29.33,29.09,29.12,29.27,29.42,29.23
20250624_140339,2025-06-24 14:03:39,29.26,29.14,28.93,28.93,29.11,29.23,29.09
20250624_140439,2025-06-24 14:04:39,29.20,29.06,28.79,28.80,29.02,29.12,28.97
20250624_140539,2025-06-24 14:05:39,29.08,28.96,28.74,28.73,28.91,29.08,28.88
20250624_140639,2025-06-24 14:06:39,29.04,28.93,28.70,28.72,28.86,29.05,28.83
20250624_140739,2025-06-24 14:07:39,29.09,28.96,28.69,28.74,28.88,29.06,28.82
20250624_140839,2025-06-24 14:08:39,29.07,28.89,28.63,28.70,28.87,29.00,28.78
20250624_140939,2025-06-24 14:09:39,29.10,28.93,28.67,28.78,28.89,29.09,28.81
20250624_141039,2025-06-24 14:10:39,29.12,29.01,28.74,28.83,28.92,29.10,28.85
20250624_141139,2025-06-24 14:11:39,29.26,29.08,28.81,28.96,28.97,29.20,28.93
20250624_141239,2025-06-24 14:12:39,29.00,28.87,28.63,28.76,28.92,29.09,28.83
20250624_141339,2025-06-24 14:13:39,29.16,28.94,28.64,28.80,28.92,29.13,28.83
20250624_141439,2025-06-24 14:14:39,29.23,29.11,28.72,28.90,28.95,29.18,28.89
20250624_141539,2025-06-24 14:15:39,29.36,29.18,28.80,28.95,29.00,29.26,28.96
20250624_141639,2025-06-24 14:16:39,29.30,29.18,28.82,28.96,29.01,29.27,28.98
20250624_141739,2025-06-24 14:17:39,29.28,29.19,28.85,28.98,29.04,29.24,29.01
20250624_141839,2025-06-24 14:18:39,29.19,29.11,28.76,28.87,29.04,29.27,28.95
20250624_141939,2025-06-24 14:19:39,29.28,29.15,28.79,28.92,29.07,29.28,28.96
20250624_142039,2025-06-24 14:20:39,29.37,29.27,28.93,29.17,29.12,29.40,29.07
20250624_142139,2025-06-24 14:21:39,29.45,29.26,28.97,29.11,29.16,29.39,29.12
20250624_142239,2025-06-24 14:22:39,29.41,29.28,29.03,29.20,29.21,29.46,29.16
20250624_142339,2025-06-24 14:23:39,29.44,29.30,29.09,29.27,29.26,29.54,29.21
20250624_142439,2025-06-24 14:24:39,29.46,29.32,29.14,29.29,29.27,29.51,29.25
20250624_142539,2025-06-24 14:25:39,29.48,29.33,29.09,26.74,29.27,29.49,28.63
20250624_142639,2025-06-24 14:26:39,29.38,29.25,29.00,29.09,29.22,29.39,28.94
20250624_142739,2025-06-24 14:27:39,29.43,29.23,28.96,29.02,29.18,29.35,29.04
20250624_142839,2025-06-24 14:28:39,29.31,29.12,28.99,26.61,29.16,29.30,28.46
20250624_142939,2025-06-24 14:29:39,28.85,28.74,28.72,28.71,28.93,29.02,28.63
20250624_143039,2025-06-24 14:30:39,28.74,28.70,28.49,28.51,28.78,28.93,28.59
20250624_143139,2025-06-24 14:31:39,28.68,28.59,28.37,28.40,28.73,28.87,28.51
20250624_143239,2025-06-24 14:32:39,28.81,28.70,28.36,28.40,28.67,28.84,28.50
20250624_143339,2025-06-24 14:33:39,28.94,28.74,28.42,28.46,28.71,28.89,28.54
20250624_143439,2025-06-24 14:34:39,28.86,28.69,28.38,28.43,28.68,28.79,28.53
20250624_143539,2025-06-24 14:35:39,28.86,28.71,28.43,28.52,28.67,28.82,28.55
20250624_143639,2025-06-24 14:36:39,28.87,28.74,28.45,28.53,28.68,28.85,28.58
20250624_143739,2025-06-24 14:37:39,28.90,28.80,28.51,28.57,28.77,28.98,28.61
20250624_143839,2025-06-24 14:38:39,29.02,28.88,28.59,28.72,28.82,29.06,28.70
20250624_143939,2025-06-24 14:39:39,29.14,28.96,28.63,28.76,28.87,29.05,28.77
20250624_144039,2025-06-24 14:40:39,29.00,28.87,28.63,28.72,28.86,28.99,28.76
20250624_144139,2025-06-24 14:41:39,28.76,28.59,28.43,28.51,28.75,28.88,28.62
20250624_144239,2025-06-24 14:42:39,28.82,28.72,28.49,28.65,28.77,28.93,28.63
20250624_144339,2025-06-24 14:43:39,29.03,28.83,28.54,28.67,28.80,28.98,28.68
20250624_144439,2025-06-24 14:44:39,28.98,28.73,28.50,28.60,28.80,28.98,28.66
20250624_144539,2025-06-24 14:45:39,28.96,28.74,28.51,28.63,28.79,28.95,28.66
20250624_144639,2025-06-24 14:46:39,28.90,28.66,28.48,28.58,28.78,28.93,28.63
20250624_144739,2025-06-24 14:47:39,28.67,28.52,28.37,28.45,28.67,28.80,28.53
20250624_144839,2025-06-24 14:48:39,28.69,28.55,28.30,28.34,28.60,28.71,28.46
20250624_144939,2025-06-24 14:49:39,28.84,28.64,28.29,28.34,28.59,28.73,28.45
20250624_145039,2025-06-24 14:50:39,28.74,28.52,28.27,28.36,28.59,28.76,28.43
20250624_145139,2025-06-24 14:51:39,28.72,28.54,28.35,28.44,28.61,28.78,28.45
20250624_145239,2025-06-24 14:52:39,28.73,28.57,28.32,28.39,28.62,28.77,28.45
20250624_145339,2025-06-24 14:53:39,28.79,28.61,28.31,28.39,28.62,28.75,28.46
20250624_145439,2025-06-24 14:54:39,28.63,28.54,28.27,25.95,28.56,28.69,27.83
20250624_145539,2025-06-24 14:55:39,28.64,28.53,28.35,28.49,28.55,28.71,28.23
20250624_145639,2025-06-24 14:56:39,28.75,28.57,28.36,28.43,28.59,28.76,28.38
20250624_145739,2025-06-24 14:57:39,28.70,28.53,28.31,28.34,28.57,28.75,28.40
20250624_145839,2025-06-24 14:58:39,28.69,28.55,28.34,28.44,28.55,28.73,28.44
20250624_145939,2025-06-24 14:59:39,28.74,28.61,28.46,28.62,28.60,28.80,28.53
20250624_150039,2025-06-24 15:00:39,28.84,28.66,28.50,28.59,28.65,28.81,28.58
20250624_150139,2025-06-24 15:01:39,28.76,28.52,28.33,28.38,28.57,28.70,28.50
20250624_150239,2025-06-24 15:02:39,28.77,28.62,28.33,28.41,28.54,28.70,28.48
20250624_150339,2025-06-24 15:03:39,28.74,28.62,28.34,28.41,28.54,28.68,28.47
20250624_150439,2025-06-24 15:04:39,28.77,28.64,28.35,28.46,28.56,28.75,28.49
20250624_150539,2025-06-24 15:05:39,28.70,28.63,28.37,28.48,28.54,28.77,28.50
20250624_150639,2025-06-24 15:06:39,28.67,28.55,28.28,28.35,28.45,28.64,28.44
20250624_150739,2025-06-24 15:07:39,28.74,28.54,28.27,28.36,28.45,28.63,28.43
20250624_150839,2025-06-24 15:08:39,28.75,28.61,28.25,25.90,28.44,28.59,27.82
20250624_150939,2025-06-24 15:09:39,28.67,28.48,28.18,28.23,28.43,28.61,28.13
20250624_151039,2025-06-24 15:10:39,28.65,28.44,28.20,28.28,28.47,28.73,28.25
20250624_151139,2025-06-24 15:11:39,28.63,28.38,28.13,28.19,28.42,28.61,28.26
20250624_151239,2025-06-24 15:12:39,28.63,28.42,28.09,28.19,28.42,28.72,28.26
20250624_151339,2025-06-24 15:13:39,28.63,28.42,28.12,28.26,28.45,28.73,28.28
20250624_151439,2025-06-24 15:14:39,28.70,28.46,28.19,28.32,28.49,28.71,28.33
20250624_151539,2025-06-24 15:15:39,28.72,28.49,28.26,28.38,28.53,28.76,28.38
20250624_151639,2025-06-24 15:16:39,28.54,28.39,28.22,28.30,28.51,28.66,28.35
20250624_151739,2025-06-24 15:17:39,28.55,28.42,28.18,28.27,28.47,28.67,28.32
20250624_151839,2025-06-24 15:18:39,28.63,28.45,28.20,28.27,28.49,28.75,28.33
20250624_151939,2025-06-24 15:19:39,28.61,28.41,28.15,28.24,28.47,28.71,28.31
20250624_152039,2025-06-24 15:20:39,28.63,28.43,28.18,28.28,28.50,28.68,28.32
20250624_152139,2025-06-24 15:21:39,28.58,28.43,28.14,28.20,28.45,28.62,28.29
20250624_152239,2025-06-24 15:22:39,28.61,28.37,28.11,25.78,28.44,28.64,27.68
20250624_152339,2025-06-24 15:23:39,28.55,28.30,28.07,28.14,28.43,28.69,28.00
20250624_152439,2025-06-24 15:24:39,28.57,28.37,28.07,28.13,28.43,28.62,28.13
20250624_152539,2025-06-24 15:25:39,28.37,28.24,27.97,28.08,28.33,28.51,28.12
20250624_152639,2025-06-24 15:26:39,28.41,28.32,28.01,28.17,28.33,28.52,28.16
20250624_152739,2025-06-24 15:27:39,28.49,28.33,28.06,28.22,28.34,28.62,28.20
20250624_152839,2025-06-24 15:28:39,28.55,28.39,28.13,28.29,28.38,28.61,28.26
20250624_152939,2025-06-24 15:29:39,28.57,28.38,28.13,28.25,28.34,28.55,28.27
20250624_153039,2025-06-24 15:30:39,28.60,28.43,28.11,28.23,28.36,28.57,28.28
20250624_153139,2025-06-24 15:31:39,28.56,28.39,28.14,28.28,28.37,28.57,28.29
20250624_153239,2025-06-24 15:32:39,28.59,28.41,28.12,28.27,28.35,28.53,28.29
20250624_153339,2025-06-24 15:33:39,28.50,28.34,28.07,25.81,28.33,28.47,27.66
20250624_153439,2025-06-24 15:34:39,28.53,28.37,28.06,28.18,28.32,28.48,28.01
20250624_153539,2025-06-24 15:35:39,28.47,28.33,28.03,28.10,28.25,28.45,28.11
20250624_153639,2025-06-24 15:36:39,28.36,28.16,27.87,27.97,28.18,28.36,28.06
20250624_153739,2025-06-24 15:37:39,28.52,28.27,27.89,27.98,28.21,28.37,28.07
20250624_153839,2025-06-24 15:38:39,28.39,28.26,27.87,27.99,28.18,28.34,28.06
20250624_153939,2025-06-24 15:39:39,28.27,28.23,27.92,28.08,28.15,28.34,28.07
20250624_154039,2025-06-24 15:40:39,28.31,28.17,27.97,28.15,28.16,28.40,28.11
20250624_154139,2025-06-24 15:41:39,28.39,28.23,28.02,28.16,28.21,28.43,28.14
20250624_154239,2025-06-24 15:42:39,28.57,28.37,28.05,28.18,28.27,28.43,28.19
20250624_154339,2025-06-24 15:43:39,28.61,28.42,28.10,28.22,28.33,28.49,28.24
20250624_154439,2025-06-24 15:44:39,28.62,28.43,28.15,28.30,28.40,28.58,28.29
20250624_154539,2025-06-24 15:45:39,28.57,28.45,28.17,28.32,28.42,28.59,28.32
20250624_154639,2025-06-24 15:46:39,28.54,28.47,28.19,28.39,28.41,28.59,28.34
20250624_154739,2025-06-24 15:47:39,28.72,28.53,28.24,28.40,28.44,28.59,28.39
20250624_154839,2025-06-24 15:48:39,28.71,28.48,28.26,28.43,28.46,28.65,28.41
20250624_154939,2025-06-24 15:49:39,28.61,28.43,28.29,28.43,28.45,28.72,28.41
20250624_155039,2025-06-24 15:50:39,28.65,28.51,28.32,28.44,28.49,28.77,28.43
20250624_155139,2025-06-24 15:51:39,28.74,28.54,28.29,28.42,28.49,28.77,28.44
20250624_155239,2025-06-24 15:52:39,28.81,28.64,28.34,28.51,28.55,28.79,28.49
20250624_155339,2025-06-24 15:53:39,28.75,28.58,28.41,28.56,28.58,28.81,28.53
20250624_155439,2025-06-24 15:54:39,28.66,28.54,28.40,28.52,28.57,28.75,28.52
20250624_155539,2025-06-24 15:55:39,28.67,28.53,28.38,28.45,28.54,28.70,28.49
20250624_155639,2025-06-24 15:56:39,28.51,28.40,28.31,28.28,28.45,28.52,28.40
20250624_155739,2025-06-24 15:57:39,28.47,28.33,28.19,28.18,28.33,28.45,28.31
20250624_155839,2025-06-24 15:58:39,28.56,28.39,28.21,28.23,28.35,28.49,28.30
20250624_155939,2025-06-24 15:59:39,28.64,28.44,28.23,25.93,28.40,28.56,27.75
20250624_160039,2025-06-24 16:00:39,28.66,28.47,28.20,28.30,28.39,28.58,28.12
20250624_160139,2025-06-24 16:01:39,28.60,28.53,28.21,28.36,28.40,28.61,28.28
20250624_160239,2025-06-24 16:02:39,28.69,28.50,28.20,25.95,28.42,28.61,27.75
20250624_160339,2025-06-24 16:03:39,28.64,28.48,28.20,28.33,28.43,28.59,28.13
20250624_160439,2025-06-24 16:04:39,28.69,28.55,28.18,28.26,28.41,28.51,28.26
20250624_160539,2025-06-24 16:05:39,28.54,28.36,28.16,28.17,28.33,28.45,28.25
20250624_160639,2025-06-24 16:06:39,28.46,28.33,28.10,25.76,28.28,28.44,27.63
20250624_160739,2025-06-24 16:07:39,28.47,28.32,28.11,28.15,28.29,28.47,27.99
20250624_160839,2025-06-24 16:08:39,28.46,28.26,28.17,28.24,28.30,28.51,28.15
20250624_160939,2025-06-24 16:09:39,28.46,28.30,28.11,28.07,28.32,28.42,28.17
20250624_161039,2025-06-24 16:10:39,28.48,28.34,28.11,28.13,28.30,28.42,28.19
20250624_161139,2025-06-24 16:11:39,28.32,28.16,28.02,25.70,28.28,28.41,27.55
20250624_161239,2025-06-24 16:12:39,28.32,28.20,27.97,27.98,28.25,28.39,27.87
20250624_161339,2025-06-24 16:13:39,28.27,28.17,27.90,27.91,28.15,28.26,27.95
20250624_161439,2025-06-24 16:14:39,28.16,27.97,27.76,27.82,28.04,28.15,27.90
20250624_161539,2025-06-24 16:15:39,28.04,27.87,27.77,27.84,27.96,28.09,27.87
20250624_161639,2025-06-24 16:16:39,27.89,27.80,27.63,27.68,27.88,28.04,27.78
20250624_161739,2025-06-24 16:17:39,27.94,27.86,27.56,27.59,27.81,27.93,27.71
20250624_161839,2025-06-24 16:18:39,27.99,27.79,27.52,27.56,27.80,27.94,27.67
20250624_161939,2025-06-24 16:19:39,27.73,27.65,27.40,27.44,27.71,27.85,27.57
20250624_162039,2025-06-24 16:20:39,27.67,27.56,27.37,27.44,27.63,27.80,27.51
20250624_162139,2025-06-24 16:21:39,27.79,27.62,27.33,27.34,27.57,27.71,27.47
20250624_162239,2025-06-24 16:22:39,27.62,27.53,27.32,27.39,27.55,27.71,27.44
20250624_162339,2025-06-24 16:23:39,27.64,27.56,27.30,27.30,27.49,27.67,27.41
20250624_162439,2025-06-24 16:24:39,27.71,27.58,27.26,27.32,27.50,27.67,27.40
20250624_162539,2025-06-24 16:25:39,27.71,27.50,27.28,27.35,27.52,27.67,27.40
20250624_162639,2025-06-24 16:26:39,27.76,27.50,27.22,27.26,27.56,27.71,27.38
20250624_162739,2025-06-24 16:27:39,27.58,27.43,27.19,27.24,27.52,27.63,27.33
20250624_162839,2025-06-24 16:28:39,27.56,27.33,27.20,27.27,27.48,27.65,27.32
20250624_162939,2025-06-24 16:29:39,27.62,27.49,27.25,27.31,27.52,27.74,27.35
