Timestamp,DateTime,BME680_Port0,BME680_Port1,STS35_Port4,SHT45_Port5,STS35_Port6,SHT45_Port7,Fused_Temp
20250624_174050,2025-06-24 17:40:50,27.64,27.78,27.75,28.10,27.57,27.81,41.41
20250624_174150,2025-06-24 17:41:50,27.92,28.06,27.76,28.12,27.66,27.87,-38.05
20250624_174250,2025-06-24 17:42:50,27.85,28.06,27.74,28.09,27.64,27.83,349.74
20250624_174350,2025-06-24 17:43:50,28.00,28.16,27.76,28.14,27.73,27.93,-1543.09
20250624_174955,2025-06-24 17:49:55,26.58,26.37,27.03,27.22,26.69,26.74,25.72
20250624_175055,2025-06-24 17:50:55,26.94,26.73,27.12,27.26,26.82,26.85,26.63
20250624_175155,2025-06-24 17:51:55,26.85,26.56,27.10,27.18,26.77,26.80,26.87
20250624_175255,2025-06-24 17:52:55,26.87,26.56,27.04,27.11,26.74,26.75,26.93
20250624_175355,2025-06-24 17:53:55,26.81,26.53,27.01,27.11,26.71,26.70,26.94
20250624_175455,2025-06-24 17:54:55,26.78,26.55,27.00,27.05,26.65,26.63,26.93
20250624_175555,2025-06-24 17:55:55,26.80,26.63,26.95,26.95,26.61,26.56,26.90
20250624_175655,2025-06-24 17:56:55,26.73,26.51,26.88,26.90,26.59,26.63,26.84
20250624_175755,2025-06-24 17:57:55,26.64,26.39,26.84,26.94,26.51,26.52,26.81
20250624_175855,2025-06-24 17:58:55,26.58,26.36,26.84,27.01,26.46,26.50,26.80
20250624_175955,2025-06-24 17:59:55,26.58,26.35,26.83,26.95,26.46,26.48,26.78
20250624_180055,2025-06-24 18:00:55,26.51,26.33,26.75,26.80,26.42,26.39,26.71
20250624_180155,2025-06-24 18:01:55,26.49,26.31,26.70,26.80,26.39,26.45,26.67
20250624_180255,2025-06-24 18:02:55,26.47,26.29,26.66,26.75,26.40,26.44,26.64
20250624_180355,2025-06-24 18:03:55,26.52,26.33,26.56,26.66,26.40,26.43,26.59
20250624_180455,2025-06-24 18:04:55,26.59,26.40,26.58,26.71,26.41,26.47,26.60
20250624_180555,2025-06-24 18:05:55,26.60,26.39,26.60,26.71,26.43,26.45,26.61
20250624_180655,2025-06-24 18:06:55,26.59,26.36,26.60,26.66,26.41,26.33,26.59
20250624_180755,2025-06-24 18:07:55,26.53,26.33,26.59,26.67,26.39,26.33,26.58
20250624_180855,2025-06-24 18:08:55,26.59,26.36,26.60,26.68,26.40,26.38,26.59
20250624_180955,2025-06-24 18:09:55,26.54,26.33,26.60,26.73,26.39,26.38,26.60
20250624_181055,2025-06-24 18:10:55,26.52,26.28,26.61,26.71,26.40,26.42,26.59
20250624_181155,2025-06-24 18:11:55,26.39,26.22,26.54,26.59,26.36,26.31,26.53
20250624_181255,2025-06-24 18:12:55,26.50,26.23,26.48,26.52,26.30,26.21,26.49
20250624_181355,2025-06-24 18:13:55,26.49,26.27,26.46,26.50,26.25,26.19,26.47
20250624_181455,2025-06-24 18:14:55,26.43,26.26,26.43,26.48,26.23,26.17,26.44
20250624_181555,2025-06-24 18:15:55,26.39,26.21,26.43,26.46,26.23,26.30,26.42
20250624_181655,2025-06-24 18:16:55,26.45,26.24,26.41,26.48,26.25,26.26,26.42
20250624_181755,2025-06-24 18:17:55,26.39,26.20,26.44,26.50,26.22,26.18,26.42
20250624_181855,2025-06-24 18:18:55,26.33,26.14,26.40,26.44,26.16,23.88,26.39
20250624_181955,2025-06-24 18:19:55,26.40,26.17,26.37,26.42,26.15,26.15,26.37
20250624_182055,2025-06-24 18:20:55,26.30,26.13,26.35,26.41,26.12,26.10,26.35
20250624_182155,2025-06-24 18:21:55,26.25,26.14,26.31,26.36,26.07,26.06,26.31
20250624_182255,2025-06-24 18:22:55,26.28,26.13,26.29,26.33,26.06,26.03,26.29
20250624_182355,2025-06-24 18:23:55,26.34,26.10,26.29,26.33,26.07,26.04,26.29
20250624_182455,2025-06-24 18:24:55,26.30,26.09,26.25,26.29,26.03,26.03,26.26
20250624_182555,2025-06-24 18:25:55,26.33,26.13,26.24,26.27,26.02,25.99,26.25
20250624_182655,2025-06-24 18:26:55,26.33,26.17,26.17,26.21,25.97,25.94,26.23
20250624_182755,2025-06-24 18:27:55,26.33,26.11,26.18,26.29,26.00,25.98,26.23
20250624_182855,2025-06-24 18:28:55,26.22,26.03,26.20,26.31,25.99,25.99,26.22
20250624_182955,2025-06-24 18:29:55,26.15,25.96,26.23,26.41,25.95,25.98,26.24
20250624_183055,2025-06-24 18:30:55,26.12,25.95,26.26,26.41,25.94,26.00,26.25
20250624_183155,2025-06-24 18:31:55,26.15,25.97,26.23,26.36,25.95,25.99,26.24
20250624_183255,2025-06-24 18:32:55,26.12,25.94,26.18,26.32,25.94,25.94,26.21
20250624_183355,2025-06-24 18:33:55,26.07,25.90,26.15,26.27,25.89,25.89,26.17
20250624_183455,2025-06-24 18:34:55,26.02,25.86,26.17,26.31,25.88,25.90,26.16
20250624_183555,2025-06-24 18:35:55,26.13,25.94,26.18,26.27,25.89,25.92,26.17
20250624_183655,2025-06-24 18:36:55,26.05,25.89,26.20,24.15,25.90,25.92,25.64
20250624_183755,2025-06-24 18:37:55,26.08,25.94,26.21,26.38,25.91,25.96,26.00
20250624_183855,2025-06-24 18:38:55,26.08,25.94,26.20,26.37,25.94,26.02,26.13
20250624_183955,2025-06-24 18:39:55,26.17,25.93,26.19,26.29,25.96,25.95,26.16
20250624_184055,2025-06-24 18:40:55,26.12,25.92,26.19,26.28,25.95,25.94,26.17
20250624_184155,2025-06-24 18:41:55,26.07,25.91,26.21,26.34,25.94,25.94,26.19
20250624_184255,2025-06-24 18:42:55,26.14,25.91,26.19,26.26,25.96,25.91,26.18
20250624_184355,2025-06-24 18:43:55,26.20,25.94,26.15,26.20,26.01,25.95,26.16
20250624_184455,2025-06-24 18:44:55,26.20,25.99,26.13,26.16,26.05,25.96,26.14
20250624_184555,2025-06-24 18:45:55,26.17,25.93,26.13,26.16,26.03,25.94,26.13
20250624_184655,2025-06-24 18:46:55,26.09,25.84,26.12,26.24,25.97,25.90,26.13
20250624_184755,2025-06-24 18:47:55,26.07,25.86,26.11,26.19,25.91,25.83,26.11
20250624_184855,2025-06-24 18:48:55,26.09,25.86,26.10,26.19,25.90,25.85,26.10
20250624_184955,2025-06-24 18:49:55,26.02,25.84,26.06,26.09,25.87,25.77,26.06
