Timestamp,DateTime,BME680_Port0,BME680_Port1,STS35_Port4,SHT45_Port5,STS35_Port6,SHT45_Port7,Fused_Temp
20250627_135930,2025-06-27 13:59:30,27.08,27.14,27.44,27.64,27.27,27.42,27.40
20250627_140030,2025-06-27 14:00:30,27.32,27.20,27.52,27.69,27.33,27.49,27.46
20250627_140130,2025-06-27 14:01:30,27.21,27.08,27.42,27.47,27.29,27.33,27.39
20250627_140230,2025-06-27 14:02:30,27.26,27.07,27.30,27.32,27.24,27.28,27.31
20250627_140330,2025-06-27 14:03:30,27.15,27.01,27.20,27.16,27.18,27.20,27.22
20250627_140430,2025-06-27 14:04:30,27.10,26.92,27.14,27.12,27.11,27.16,27.16
20250627_140530,2025-06-27 14:05:30,27.06,26.88,27.08,27.03,27.09,27.14,27.10
20250627_140630,2025-06-27 14:06:30,27.15,26.93,27.07,27.06,27.15,27.21,27.11
20250627_140730,2025-06-27 14:07:30,27.08,26.92,27.04,27.03,27.17,27.20,27.10
20250627_140830,2025-06-27 14:08:30,27.07,26.90,26.94,26.94,27.15,27.12,27.06
20250627_140930,2025-06-27 14:09:30,27.09,26.97,27.02,27.03,27.14,27.14,27.07
20250627_141030,2025-06-27 14:10:30,27.00,26.88,26.93,26.95,27.12,27.15,27.04
20250627_141130,2025-06-27 14:11:30,27.00,26.91,26.95,27.02,27.11,27.25,27.06
20250627_141230,2025-06-27 14:12:30,27.12,26.99,26.97,27.03,27.15,27.30,27.09
20250627_141330,2025-06-27 14:13:30,27.18,27.13,27.04,27.14,27.20,27.34,27.15
20250627_141430,2025-06-27 14:14:30,27.25,27.14,27.13,27.17,27.21,27.30,27.18
20250627_141530,2025-06-27 14:15:30,27.30,27.24,27.19,25.12,27.24,27.32,27.21
20250627_141630,2025-06-27 14:16:30,27.28,27.24,27.28,27.40,27.25,27.39,27.28
20250627_141730,2025-06-27 14:17:30,27.29,27.28,27.33,27.43,27.30,27.46,27.34
20250627_141830,2025-06-27 14:18:30,27.36,27.29,27.31,27.37,27.36,27.51,27.36
20250627_141930,2025-06-27 14:19:30,27.38,27.29,27.28,27.36,27.38,27.52,27.37
20250627_142030,2025-06-27 14:20:30,27.47,27.31,27.28,27.36,27.39,27.51,27.38
20250627_142130,2025-06-27 14:21:30,27.49,27.33,27.29,27.33,27.40,27.54,27.39
20250627_142230,2025-06-27 14:22:30,27.52,27.35,27.30,27.35,27.43,27.54,27.40
20250627_142330,2025-06-27 14:23:30,27.37,27.27,27.34,27.49,27.38,27.61,27.42
20250627_142430,2025-06-27 14:24:30,27.41,27.23,27.33,27.44,27.35,27.57,27.42
20250627_142530,2025-06-27 14:25:30,27.48,27.21,27.29,27.31,27.42,27.54,27.40
20250627_142630,2025-06-27 14:26:30,27.36,27.25,27.26,27.31,27.40,27.55,27.38
20250627_142730,2025-06-27 14:27:30,27.41,27.32,27.27,27.33,27.42,27.53,27.38
20250627_142830,2025-06-27 14:28:30,27.30,27.14,27.21,27.22,27.41,27.52,27.35
20250627_142930,2025-06-27 14:29:30,27.31,27.21,27.24,25.16,27.40,27.55,27.34
20250627_143030,2025-06-27 14:30:30,27.33,27.24,27.31,27.39,27.38,27.51,27.37
