Timestamp,DateTime,BME680_Port0,BME680_Port1,STS35_Port4,SHT45_Port5,STS35_Port6,SHT45_Port7,Combined_Fused_Temp
20250703_153750,2025-07-03 15:37:50,27.57,27.72,27.76,28.13,27.71,28.42,27.86
20250703_153820,2025-07-03 15:38:20,28.06,28.13,27.74,28.08,27.75,28.34,28.07
20250703_153850,2025-07-03 15:38:50,28.00,28.00,27.68,27.96,27.71,28.25,27.97
20250703_153933,2025-07-03 15:39:33,28.50,28.49,27.72,28.01,27.79,28.38,28.14
20250703_154003,2025-07-03 15:40:03,28.96,28.93,27.84,28.16,27.97,28.64,28.20
20250703_154033,2025-07-03 15:40:33,29.19,29.13,27.96,28.26,28.13,28.78,28.30
20250703_154103,2025-07-03 15:41:03,29.22,29.17,27.92,28.14,28.16,28.64,28.31
20250703_154133,2025-07-03 15:41:33,29.23,29.16,27.91,28.15,28.19,28.61,28.32
20250703_154203,2025-07-03 15:42:03,29.03,28.93,27.89,28.14,28.16,28.53,28.35
20250703_154233,2025-07-03 15:42:33,28.88,28.75,27.85,28.06,28.09,28.41,28.30
20250703_154303,2025-07-03 15:43:03,28.91,28.76,27.86,28.12,28.10,28.41,28.28
20250703_154333,2025-07-03 15:43:33,28.95,28.79,27.83,28.03,28.10,28.38,28.24
20250703_154403,2025-07-03 15:44:03,28.79,28.65,27.75,27.82,28.03,28.17,28.13
20250703_154433,2025-07-03 15:44:33,28.71,28.57,27.73,27.86,27.97,28.12,28.08
20250703_154503,2025-07-03 15:45:03,28.58,28.45,27.68,27.87,27.92,28.13,28.07
20250703_154533,2025-07-03 15:45:33,28.45,28.24,27.56,27.59,27.81,27.88,27.91
20250703_154603,2025-07-03 15:46:03,28.34,28.21,27.46,27.47,27.74,27.77,27.81
20250703_154633,2025-07-03 15:46:33,28.20,28.16,27.37,27.31,27.62,27.62,27.65
20250703_154703,2025-07-03 15:47:03,28.09,28.01,27.23,27.21,27.51,27.52,27.55
20250703_154733,2025-07-03 15:47:33,28.20,28.21,27.21,27.23,27.48,27.54,27.50
20250703_154803,2025-07-03 15:48:03,28.21,28.22,27.16,27.14,27.43,27.41,27.37
20250703_154833,2025-07-03 15:48:33,28.32,28.22,27.16,27.19,27.44,27.42,27.39
20250703_154903,2025-07-03 15:49:03,28.43,28.34,27.23,27.29,27.44,27.50,27.43
20250703_154933,2025-07-03 15:49:33,28.40,28.31,27.27,27.38,27.47,27.54,27.47
20250703_155003,2025-07-03 15:50:03,28.37,28.33,27.36,27.51,27.50,27.60,27.53
20250703_155033,2025-07-03 15:50:33,28.46,28.38,27.39,27.48,27.55,27.63,27.57
20250703_155103,2025-07-03 15:51:03,28.47,28.37,27.39,27.53,27.58,27.66,27.60
20250703_155133,2025-07-03 15:51:33,28.44,28.39,27.46,27.68,27.60,27.72,27.68
20250703_155203,2025-07-03 15:52:03,28.44,28.38,27.44,27.53,27.57,27.66,27.62
20250703_155233,2025-07-03 15:52:33,28.56,28.42,27.43,27.49,27.61,27.65,27.61
20250703_155303,2025-07-03 15:53:03,28.52,28.41,27.45,27.58,27.63,27.68,27.65
