Timestamp,DateTime,BME680_Port0,BME680_Port1,STS35_Port4,SHT45_Port5,STS35_Port6,SHT45_Port7,Combined_Fused_Temp
20250704_150531,2025-07-04 15:05:31,27.28,27.27,28.02,27.91,27.80,27.86,27.86
20250704_150601,2025-07-04 15:06:01,27.72,27.59,27.97,27.88,27.80,27.85,27.85
20250704_150631,2025-07-04 15:06:31,27.93,27.81,27.98,27.91,27.85,27.96,27.92
20250704_150701,2025-07-04 15:07:01,27.93,27.82,27.93,27.83,27.82,27.87,27.88
20250704_150731,2025-07-04 15:07:31,27.86,27.78,27.87,27.78,27.78,27.81,27.83
20250704_150801,2025-07-04 15:08:01,27.89,27.75,27.82,27.75,27.76,27.78,27.81
20250704_150831,2025-07-04 15:08:31,27.90,27.74,27.78,27.70,27.76,27.76,27.79
20250704_150901,2025-07-04 15:09:01,27.85,27.69,27.77,27.69,27.72,27.72,27.76
20250704_150931,2025-07-04 15:09:31,27.84,27.70,27.73,27.66,27.68,27.67,27.73
20250704_151001,2025-07-04 15:10:01,27.88,27.73,27.72,27.69,27.69,27.67,27.74
20250704_151031,2025-07-04 15:10:31,27.92,27.74,27.72,27.64,27.70,27.66,27.74
20250704_151101,2025-07-04 15:11:01,27.93,27.74,27.70,27.65,27.67,27.64,27.73
20250704_151131,2025-07-04 15:11:31,27.95,27.72,27.71,27.67,27.67,27.65,27.72
20250704_151201,2025-07-04 15:12:01,27.79,27.67,27.69,27.59,27.65,27.61,27.69
20250704_151231,2025-07-04 15:12:31,27.69,27.65,27.63,27.54,27.60,27.56,27.63
20250704_151301,2025-07-04 15:13:01,27.81,27.69,27.63,27.57,27.61,27.58,27.66
20250704_151331,2025-07-04 15:13:31,27.86,27.74,27.64,27.57,27.63,27.58,27.68
20250704_151401,2025-07-04 15:14:01,27.87,27.75,27.65,27.61,27.62,27.61,27.70
20250704_151431,2025-07-04 15:14:31,27.79,27.67,27.66,27.61,27.65,27.64,27.68
20250704_151501,2025-07-04 15:15:01,27.80,27.70,27.65,27.58,27.64,27.65,27.68
20250704_151531,2025-07-04 15:15:31,27.74,27.60,27.62,27.58,27.62,27.64,27.65
20250704_151601,2025-07-04 15:16:01,27.79,27.66,27.64,27.59,27.64,27.65,27.67
20250704_151631,2025-07-04 15:16:31,27.79,27.69,27.64,27.58,27.64,27.64,27.68
20250704_151701,2025-07-04 15:17:01,27.83,27.72,27.63,27.60,27.63,27.66,27.69
20250704_151731,2025-07-04 15:17:31,27.64,27.60,27.61,27.55,27.58,27.61,27.61
20250704_151801,2025-07-04 15:18:01,27.57,27.56,27.58,27.48,27.53,27.56,27.56
20250704_151831,2025-07-04 15:18:31,27.74,27.71,27.56,27.48,27.53,27.56,27.61
20250704_151901,2025-07-04 15:19:01,27.94,27.77,27.57,27.50,27.58,27.59,27.66
20250704_151931,2025-07-04 15:19:31,27.94,27.71,27.57,27.51,27.59,27.57,27.65
20250704_152001,2025-07-04 15:20:01,27.91,27.70,27.57,27.57,27.60,27.61,27.67
20250704_152031,2025-07-04 15:20:31,27.99,27.81,27.60,27.58,27.63,27.62,27.70
20250704_152101,2025-07-04 15:21:01,27.98,27.83,27.61,27.60,27.66,27.65,27.72
20250704_152131,2025-07-04 15:21:31,27.85,27.69,27.64,27.64,27.66,27.65,27.70
20250704_152201,2025-07-04 15:22:01,27.85,27.64,27.63,27.65,27.66,27.65,27.69
20250704_152231,2025-07-04 15:22:31,27.85,27.74,27.63,27.63,27.64,27.68,27.71
20250704_152301,2025-07-04 15:23:01,27.75,27.68,27.59,27.57,27.62,27.62,27.66
20250704_152331,2025-07-04 15:23:31,27.81,27.78,27.59,27.54,27.61,27.63,27.68
20250704_152401,2025-07-04 15:24:01,27.87,27.77,27.59,27.58,27.64,27.65,27.70
20250704_152431,2025-07-04 15:24:31,27.91,27.83,27.61,27.60,27.65,27.66,27.72
20250704_152501,2025-07-04 15:25:01,27.87,27.69,27.63,27.66,27.66,27.67,27.71
20250704_152531,2025-07-04 15:25:31,27.90,27.68,27.64,27.66,27.69,27.69,27.72
20250704_152601,2025-07-04 15:26:01,27.88,27.68,27.67,27.65,27.69,27.69,27.72
20250704_152631,2025-07-04 15:26:31,27.86,27.72,27.67,27.63,27.69,27.70,27.72
20250704_152701,2025-07-04 15:27:01,27.75,27.73,27.65,27.59,27.67,27.68,27.69
20250704_152731,2025-07-04 15:27:31,27.65,27.67,27.61,27.50,27.63,27.63,27.63
20250704_152801,2025-07-04 15:28:01,27.82,27.72,27.57,27.51,27.62,27.64,27.66
20250704_152831,2025-07-04 15:28:31,27.90,27.74,27.60,27.59,27.65,27.69,27.71
20250704_152901,2025-07-04 15:29:01,28.00,27.79,27.64,27.63,27.71,27.73,27.76
20250704_152931,2025-07-04 15:29:31,27.94,27.78,27.62,27.58,27.69,27.66,27.73
